object_name,object_id,mean_motion,eccentricity,inclination,arg_of_pericenter,norad_cat_id,object_name_unique
STARLINK-34923,2025-179N,15.05652538,0.0001598,97.6035,109.1713,65247,STARLINK
STARLINK-34962,2025-179P,15.0565505,0.00013422,97.6036,120.2518,65248,STARLINK
STARLINK-34925,2025-179Q,15.05656515,0.00012381,97.602,149.0436,65249,STARLINK
STARLINK-34973,2025-179R,15.05653199,0.00011106,97.6027,117.3782,65250,STARLINK
STARLINK-34989,2025-179S,15.05653984,0.00022514,97.6028,124.709,65251,STARLINK
STARLINK-34961,2025-179T,15.0565367,9.786e-05,97.6042,122.543,65252,STARLINK
STARLINK-34933,2025-179U,15.05644957,0.00011309,97.6031,121.0997,65253,STARLINK
STARLINK-34979,2025-179V,15.05651407,0.00020772,97.6031,119.4626,65254,STARLINK
STARLINK-34987,2025-179W,15.05650458,0.00015653,97.6027,149.3303,65255,STARLINK
STARLINK-34971,2025-179X,15.05652219,0.00012175,97.6034,146.7555,65256,STARLINK
STARLINK-34966,2025-179Y,15.05649837,0.00014901,97.6036,101.0982,65257,STARLINK
STARLINK-34980,2025-179Z,15.05654959,0.00010403,97.6057,100.3303,65258,STARLINK
STARLINK-34922,2025-184A,15.0565869,0.00018634,97.6032,127.9545,65273,STARLINK
STARLINK-34904,2025-184B,15.05645559,0.00011576,97.6027,117.1598,65274,STARLINK
STARLINK-34954,2025-184C,15.05652822,7.722e-05,97.6035,162.5421,65275,STARLINK
STARLINK-34968,2025-184D,15.05649834,5.469e-05,97.6034,150.8831,65276,STARLINK
STARLINK-34935,2025-184E,15.05649325,3.202e-05,97.6031,98.5252,65277,STARLINK
STARLINK-35000,2025-184F,15.0565131,0.00014068,97.6025,101.561,65278,STARLINK
STARLINK-35023,2025-184G,15.05653615,0.00012321,97.6033,140.2508,65279,STARLINK
STARLINK-35001,2025-184H,15.05649917,8.606e-05,97.6027,145.1676,65280,STARLINK
STARLINK-35010,2025-184J,15.05652016,0.00018707,97.6036,146.0421,65281,STARLINK
STARLINK-35021,2025-184K,15.05660076,0.00010888,97.6037,125.6803,65282,STARLINK
STARLINK-35015,2025-184L,15.05652998,0.00012528,97.603,132.1333,65283,STARLINK
STARLINK-35006,2025-184M,15.05652298,0.00010518,97.6033,134.6581,65284,STARLINK
STARLINK-34995,2025-184N,15.05655345,0.00014294,97.6039,134.4737,65285,STARLINK
STARLINK-35048,2025-184P,15.05651883,0.00010477,97.6034,134.2505,65286,STARLINK
STARLINK-35007,2025-184Q,15.05653856,0.00012562,97.6036,120.6841,65287,STARLINK
STARLINK-35018,2025-184R,15.0565004,7.474e-05,97.6003,126.095,65288,STARLINK
STARLINK-34845,2025-184S,15.05658988,9.926e-05,97.6009,161.2268,65289,STARLINK
STARLINK-34984,2025-184T,15.0565139,0.00011665,97.602,147.7289,65290,STARLINK
STARLINK-35002,2025-184U,15.05652336,0.00017514,97.6036,132.124,65291,STARLINK
STARLINK-35017,2025-184V,15.0565321,0.00013734,97.6024,153.9149,65292,STARLINK
