current_official_name_of_satellite,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,perigee_km,launch_mass_kg,date_of_launch,expected_lifetime_yrs,launch_vehicle,norad_number,launch_year
AMC-6,USA,ses s.a.,Commercial,Communications,GEO,Unknown,35.778,35.795,35.778,3.901,2000-10-22,15.0,Proton Family,26580,2000
AmGU-1,Russia,moscow state university,Civil,Space Science,LEO,Sun-Synchronous,514.0,547.0,514.0,4.0,2019-07-05,4.0,Soyuz Family,44394,2019
Amos 17,Israel,space-communication ltd.,Commercial/Military,Communications,GEO,Unknown,35.777,35.793,35.777,6.5,2019-08-06,20.0,SpaceX Falcon,44479,2019
Amos 3,Israel,space-communication ltd.,Commercial/Military,Communications,GEO,Unknown,35.783,35.789,35.783,199.87465311986864,2008-04-28,12.0,Zenit Family,32794,2008
Amos 4,Israel,space-communication ltd.,Commercial/Military,Communications,GEO,Unknown,35.633,35.796,35.633,199.87465311986864,2013-08-31,12.0,Zenit Family,39237,2013
Amsat-Oscar 7,USA,amsat-na,Civil,Communications,LEO,Polar,1.44,1.459,1.44,29.0,2074-11-15,4.0,Delta Family,7530,2074
ANASIS-II,South Korea,agency for defense development,Military,Communications,GEO,Unknown,35.781,35.792,35.781,199.87465311986864,2020-07-20,15.0,SpaceX Falcon,45920,2020
ANDESITE Mule,USA,andesite - boston university,Civil,Space Science/Technology Demonstration,LEO,Sun-Synchronous,582.0,600.0,582.0,9.0,2020-06-13,4.0,Electron,45726,2020
ANGELS,ESA,centre national d'etudes spatiales (cnes),Government,Communications,LEO,Sun-Synchronous,509.0,524.0,509.0,18.0,2019-12-18,4.0,Soyuz Family,44876,2019
Angosat-2,Angola,angosat,Government,Communications,LEO,Non-Polar Inclined,35.782,35.791,35.782,2.15,2022-10-12,4.0,Proton Family,54033,2022
Anik F1,Canada,"telesat canada ltd. (bce, inc.)",Commercial,Communications,GEO,Unknown,35.778,35.793,35.778,4.71,2000-11-21,15.0,Ariane Family,26624,2000
Anik F1R,Canada,"telesat canada ltd. (bce, inc.)",Commercial,Communications,GEO,Unknown,35.777,35.795,35.777,4.5,2005-09-09,15.0,Proton Family,28868,2005
Anik F2,Canada,"telesat canada ltd. (bce, inc.)",Commercial,Communications,GEO,Unknown,35.781,35.79,35.781,5.91,2004-07-18,15.0,Ariane Family,28378,2004
Anik F3,Canada,"telesat canada ltd. (bce, inc.)",Commercial,Communications,GEO,Unknown,35.778,35.794,35.778,4.715,2007-04-09,15.0,Proton Family,31102,2007
Anik G1,Canada,"telesat canada ltd. (bce, inc.)",Commercial,Communications,GEO,Unknown,35.773,35.799,35.773,4.905,2013-04-15,15.0,Proton Family,39127,2013
AprizeSat 1,Argentina,"aprize satellite, argentina",Commercial,Communications/Technology Development,LEO,Sun-Synchronous,696.0,764.0,696.0,12.0,2004-06-29,4.0,Dnepr,28372,2004
AprizeSat 10,Multinational_countries,"aprize satellite, argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,613.0,733.0,613.0,12.0,2014-06-19,4.0,Dnepr,40019,2014
AprizeSat 2,Multinational_countries,"aprize satellite, argentina",Commercial,Communications/Technology Development,LEO,Sun-Synchronous,694.0,850.0,694.0,12.0,2004-06-29,4.0,Dnepr,28366,2004
AprizeSat 3,Multinational_countries,"aprize satellite, argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,559.0,662.0,559.0,12.0,2009-07-29,4.0,Dnepr,35686,2009
AprizeSat 4,Multinational_countries,"aprize satellite, argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,604.0,674.0,604.0,12.0,2009-07-29,4.0,Dnepr,35684,2009
AprizeSat 5,Canada,"aprize satellite, argentina",Commercial,Communications,LEO,Sun-Synchronous,610.0,694.0,610.0,12.0,2011-08-17,4.0,Dnepr,37792,2011
AprizeSat 7,Canada,"aprize satellite, argentina",Commercial,Communications,LEO,Sun-Synchronous,594.0,653.0,594.0,12.0,2013-11-21,4.0,Dnepr,39416,2013
AprizeSat 8,Multinational_countries,"aprize satellite, argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,594.0,669.0,594.0,12.0,2013-11-21,4.0,Dnepr,39425,2013
AprizeSat 9,USA,"aprize satellite, argentina",Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,613.0,715.0,613.0,12.0,2014-06-19,4.0,Dnepr,40018,2014
Apstar 6C,China,apt satellite holdings ltd.,Commercial,Communications,GEO,Unknown,35.783,35.79,35.783,199.87465311986864,2018-05-03,15.0,Long March Family,43450,2018
Apstar 6D,China,apt satellite holdings ltd.,Commercial,Communications,GEO,Unknown,35.785,35.885,35.785,5.55,2020-07-09,15.0,Long March Family,45863,2020
Apstar 6E,China,apt satellite holdings ltd.,Commercial,Communications,GEO,Unknown,35.7,35.7,35.7,4.3,2023-01-12,15.0,Long March Family,55239,2023
Apstar 7,China,apt satellite holdings ltd.,Commercial,Communications,GEO,Unknown,35.864,35.874,35.864,5.054,2012-03-31,15.0,Long March Family,38107,2012
Apstar 9,China,apt satellite holdings ltd.,Commercial,Communications,GEO,Unknown,35.782,35.788,35.782,5.2,2015-10-16,15.0,Long March Family,40982,2015
Arabsat 5C,Multinational,arab satellite communications org. (asco),Government,Communications,GEO,Unknown,35.766,35.805,35.766,4.63,2011-09-21,15.0,Ariane Family,37810,2011
Arabsat 6A,Multinational,arab satellite communications org. (asco),Commercial,Communications,GEO,Unknown,35.774,35.811,35.774,6.465,2019-04-11,15.0,SpaceX Falcon,44186,2019
ARCE 1A,USA,"university of south florida, institute of applied engineering (iae).",Civil,Technology Development,LEO,Sun-Synchronous,526.0,535.0,526.0,1.0,2021-01-24,4.0,SpaceX Falcon,47484,2021
ARCE 1B,USA,"university of south florida, institute of applied engineering (iae).",Civil,Technology Development,LEO,Sun-Synchronous,522.0,536.0,522.0,1.0,2021-01-24,4.0,SpaceX Falcon,47615,2021
ARCE 1C,USA,"university of south florida, institute of applied engineering (iae).",Civil,Technology Development,LEO,Sun-Synchronous,522.0,536.0,522.0,1.0,2021-01-24,4.0,SpaceX Falcon,47616,2021
ARCSAT,Norway,norwegian defence research establishment,Military,Technology Demonstration,LEO,Sun-Synchronous,499.0,510.0,499.0,10.0,2022-04-01,4.0,SpaceX Falcon,52161,2022
ARICA,Japan,aoyama gakuin university in tokyo,Civil,Technology Development,LEO,Sun-Synchronous,547.0,572.0,547.0,1.0,2021-11-08,4.0,H2A,49403,2021
Arktika-M1,Russia,naval physical and oceanographic laboratory,Government,Earth Observation,ELLIPTICAL,Molniya,1.025,39.754,1.025,2.2,2021-02-28,7.0,Soyuz Family,47719,2021
Arkyd-6A,USA,planetary resources,Commercial,Technology Development,LEO,Sun-Synchronous,493.0,505.0,493.0,10.0,2018-01-11,4.0,ISRO PSLV,43130,2018
ArSat 1,Argentina,arsat,Commercial,Communications,GEO,Unknown,35.778,35.795,35.778,3.0,2014-10-16,15.0,Ariane Family,40272,2014
ArSat 2,Argentina,arsat,Commercial,Communications,GEO,Unknown,35.786,35.801,35.786,2.977,2015-09-30,15.0,Ariane Family,40941,2015
Arthur,Belgium,aerospacelab,Commercial,Earth Observation,LEO,Sun-Synchronous,512.0,535.0,512.0,20.0,2021-06-30,4.0,SpaceX Falcon,48953,2021
ASELSAT,Turkey,istanbul technical  university,Civil,Earth Observation,LEO,Sun-Synchronous,522.0,536.0,522.0,5.0,2021-01-24,4.0,SpaceX Falcon,47441,2021
AsiaSat-5,China,asia satellite telecommunications co. ltd.,Commercial,Communications,GEO,Unknown,35.778,35.795,35.778,3.76,2009-08-11,15.0,Proton Family,35696,2009
AsiaSat-6,China,asia satellite telecommunications co. ltd.,Commercial,Communications,GEO,Unknown,35.783,35.793,35.783,3.7,2014-09-07,15.0,SpaceX Falcon,40141,2014
AsiaSat-7,China,asia satellite telecommunications co. ltd.,Commercial,Communications,GEO,Unknown,35.782,35.793,35.782,3.813,2011-11-25,15.0,Proton Family,37933,2011
AsiaSat-8,China,asia satellite telecommunications co. ltd.,Commercial,Communications,GEO,Unknown,35.781,35.793,35.781,4.5,2014-08-05,15.0,SpaceX Falcon,40107,2014
AsiaSat-9,China,asia satellite telecommunications co. ltd.,Commercial,Communications,GEO,Unknown,35.783,35.79,35.783,6.14,2017-09-28,15.0,Proton Family,42942,2017
AsiaStar,USA,1worldspace,Commercial,Communications,GEO,Unknown,35.773,35.801,35.773,2.775,2000-03-21,15.0,Ariane Family,26107,2000
ASNARO-1,Japan,japan space systems,Government,Earth Observation,LEO,Sun-Synchronous,506.0,507.0,506.0,500.0,2014-11-06,3.0,Dnepr,40298,2014
ASNARO-2,Japan,japan space systems,Government,Earth Observation,LEO,Sun-Synchronous,493.0,505.0,493.0,570.0,2018-01-17,3.0,Epsilon,43152,2018
ASTERISC,Japan,chiba institute of technology,Civil,Technology Development,LEO,Sun-Synchronous,556.0,573.0,556.0,4.0,2021-11-08,4.0,H2A,49397,2021
Astra 1G,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.78,35.791,35.78,3.379,1997-12-02,15.0,Proton Family,25071,1997
Astra 1KR,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.766,35.807,35.766,4.332,2006-04-20,15.0,Atlas Family,29055,2006
Astra 1L,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.772,35.798,35.772,4.5,2007-05-04,15.0,Ariane Family,31306,2007
Astra 1M,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.804,35.852,35.804,5.345,2008-11-05,15.0,Proton Family,33436,2008
Astra 1N,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.715,35.78,35.715,5.35,2011-08-06,15.0,Ariane Family,37775,2011
Astra 2A,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.776,35.797,35.776,3.635,1998-08-30,15.0,Proton Family,25462,1998
Astra 2C,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.768,35.804,35.768,3.643,2001-06-16,15.0,Proton Family,26853,2001
Astra 2D,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.77,35.802,35.77,1.42,2000-12-19,15.0,Ariane Family,26638,2000
Astra 2E,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.781,35.793,35.781,6.052,2013-09-29,15.0,Proton Family,39285,2013
Astra 2F,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.777,35.795,35.777,6.0,2012-09-28,15.0,Ariane Family,38778,2012
Astra 2G,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.785,35.789,35.785,6.0,2014-12-27,15.0,Proton Family,40364,2014
Astra 3A,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.77,35.804,35.77,1.5,2002-03-29,10.0,Ariane Family,27400,2002
Astra 3B,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.768,35.806,35.768,5.471,2010-05-21,15.0,Ariane Family,36581,2010
Astra 5B,Luxembourg,ses s.a.,Commercial,Communications,GEO,Unknown,35.787,35.793,35.787,5.724,2014-03-22,15.0,Ariane Family,39617,2014
Astranis Demosat-2,USA,astranis,Commercial,Technology Development,LEO,Sun-Synchronous,494.0,505.0,494.0,199.87465311986864,2018-01-11,4.0,ISRO PSLV,43127,2018
Astrocast-0101 ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,521.0,534.0,521.0,4.0,2021-01-24,4.0,SpaceX Falcon,47430,2021
Astrocast-0102 ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,523.0,535.0,523.0,4.0,2021-01-24,4.0,SpaceX Falcon,47488,2021
Astrocast-0103 ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,522.0,536.0,522.0,4.0,2021-01-24,4.0,SpaceX Falcon,47487,2021
Astrocast-0104 ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,524.0,537.0,524.0,4.0,2021-01-24,4.0,SpaceX Falcon,47519,2021
Astrocast-0105 ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,526.0,535.0,526.0,4.0,2021-01-24,4.0,SpaceX Falcon,47517,2021
Astrocast-0201 ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,512.0,535.0,512.0,4.0,2021-06-30,4.0,SpaceX Falcon,48954,2021
Astrocast-0202   ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,511.0,536.0,511.0,4.0,2021-06-30,4.0,SpaceX Falcon,48961,2021
Astrocast-0203,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,511.0,536.0,511.0,4.0,2021-06-30,4.0,SpaceX Falcon,48955,2021
Astrocast-0204 ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,513.0,536.0,513.0,4.0,2021-06-30,4.0,SpaceX Falcon,48952,2021
Astrocast-0205 ,Switzerland,astrocast,Commercial,Communications,LEO,Sun-Synchronous,513.0,535.0,513.0,4.0,2021-06-30,4.0,SpaceX Falcon,48960,2021
Astrosat,India,telemetry tracking and command network (istrac) centre,Government,Space Science,LEO,Equatorial,632.0,649.0,632.0,230.0,2015-09-28,5.0,ISRO PSLV,40930,2015
AT&T T16,USA,"directv, inc.",Commercial,Communications,GEO,Unknown,35.653,36.757,35.653,6.35,2019-06-20,15.0,Ariane Family,44333,2019
Athena,USA,pointview tech,Commercial,Communications,LEO,Sun-Synchronous,516.0,524.0,516.0,138.0,2020-09-02,4.0,Vega Family,46275,2020
Athena-Fidus,Multinational_countries,centre national d'etudes spatiales (cnes)/agenzia spaziale italiana (asi),Government/Military,Communications,GEO,Unknown,35.784,35.788,35.784,3.08,2014-02-06,15.0,Ariane Family,39509,2014
Athenoxat-1,Singapore,microspace rapid pvt ltd.,Commercial,Technology Development,LEO,Equatorial,532.0,550.0,532.0,6.0,2015-12-16,4.0,ISRO PSLV,41168,2015
Azerspace 1/Africasat-1a,Azerbaijan,azercosmos,Government,Communications,GEO,Unknown,35.778,35.794,35.778,3.25,2013-02-07,15.0,Ariane Family,39079,2013
Azerspace 2/Intelsat-38,Azerbaijan,azercosmos,Government,Communications,GEO,Unknown,35.75,35.75,35.75,3.5,2018-09-25,15.0,Ariane Family,43632,2018
Badr 4,Multinational,arab satellite communications org. (asco),Government,Communications,GEO,Unknown,35.78,35.791,35.78,3.304,2006-11-08,15.0,Proton Family,29526,2006
