current_official_name_of_satellite,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,perigee_km,launch_mass_kg,date_of_launch,expected_lifetime_yrs,launch_vehicle,norad_number,launch_year
Shijian 15,China,china academy of space technology (cast),Government,Technology Development,LEO,Sun-Synchronous,661.0,673.0,661.0,199.87465311986864,2013-07-19,4.0,Long March Family,39210,2013
Shijian 16-01,China,china academy of space technology (cast),Government,Technology Development,LEO,Polar,599.0,616.0,599.0,199.87465311986864,2013-10-25,4.0,Long March Family,39358,2013
Shijian 16-02,China,china academy of space technology (cast),Government,Technology Development,LEO,Polar,338.0,594.0,338.0,199.87465311986864,2016-06-29,4.0,Long March Family,41634,2016
Shijian 17,China,china satellite communication corp. (china satcom),Government,Technology Development,GEO,Unknown,35.777,35.796,35.777,3.8,2016-11-03,15.0,Long March Family,41838,2016
Shijian 20,China,china aerospace science and technology corporation (casc),Government,Technology Development,GEO,Unknown,35.751,35.824,35.751,7.6,2019-12-27,20.0,Long March Family,44910,2019
Shijian 21,China,china aerospace science and technology corporation (casc),Government,Technology Development,GEO,Unknown,35.861,35.887,35.861,5.0,2021-10-24,15.0,Long March Family,49330,2021
Shijian 6-05A,China,china academy of space technology (cast),Government,Earth Observation,LEO,Sun-Synchronous,456.0,470.0,456.0,199.87465311986864,2021-10-10,4.0,Long March Family,49962,2021
Shijian 6-05B,China,china academy of space technology (cast),Government,Earth Observation,LEO,Sun-Synchronous,454.0,468.0,454.0,199.87465311986864,2021-10-10,4.0,Long March Family,49961,2021
Shijian 6A,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,579.0,606.0,579.0,199.87465311986864,2004-09-08,2.0,Long March Family,28413,2004
Shijian 6B,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,587.0,598.0,587.0,199.87465311986864,2004-09-08,2.0,Long March Family,28414,2004
Shijian 6C,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,591.0,594.0,591.0,199.87465311986864,2006-10-23,4.0,Long March Family,29505,2006
Shijian 6D,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,594.0,595.0,594.0,199.87465311986864,2006-10-23,4.0,Long March Family,29506,2006
Shijian 6E,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,581.0,607.0,581.0,199.87465311986864,2008-10-25,3.0,Long March Family,33408,2008
Shijian 6F,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,578.0,603.0,578.0,199.87465311986864,2008-10-25,3.0,Long March Family,33409,2008
Shijian 6G,China,china academy of space technology (cast),Government,Earth Observation,LEO,Sun-Synchronous,584.0,603.0,584.0,199.87465311986864,2010-10-06,4.0,Long March Family,37179,2010
Shijian 6H,China,china academy of space technology (cast),Government,Earth Observation,LEO,Sun-Synchronous,586.0,602.0,586.0,199.87465311986864,2010-10-06,4.0,Long March Family,37180,2010
Shijian 7,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,534.0,591.0,534.0,199.87465311986864,2005-07-05,3.0,Long March Family,28737,2005
Shijian 9A,China,shanghai academy of spaceflight technology,Government,Technology Development,LEO,Sun-Synchronous,623.0,650.0,623.0,199.87465311986864,2012-10-14,4.0,Long March Family,38860,2012
Shijian 9B,China,shanghai academy of spaceflight technology,Government,Technology Development,LEO,Sun-Synchronous,624.0,651.0,624.0,199.87465311986864,2012-10-14,4.0,Long March Family,38861,2012
Shiyan 1,China,china academy of space technology (cast),Government,Earth Observation,LEO,Sun-Synchronous,586.0,601.0,586.0,204.0,2004-04-18,4.0,Long March Family,28220,2004
Shiyan 11,China,china academy of space technology (cast),Government,Technology Development,LEO,Non-Polar Inclined,489.0,502.0,489.0,200.0,2021-11-24,4.0,Kuaizhou Family,49501,2021
Shiyan 12-01,China,china academy of space technology (cast),Government,Technology Development,GEO,Unknown,35.784,35.787,35.784,3.0,2021-12-23,15.0,Long March Family,50321,2021
Shiyan 12-02,China,china academy of space technology (cast),Government,Technology Development,GEO,Unknown,35.784,35.787,35.784,3.0,2021-12-23,15.0,Long March Family,50322,2021
Shiyan 13,China,china academy of space technology (cast),Government,Technology Development,LEO,Non-Polar Inclined,468.0,493.0,468.0,500.0,2022-01-17,4.0,Long March Family,51102,2022
Shiyan 14,China,china academy of space technology (cast),Government,Technology Development,LEO,Sun-Synchronous,488.0,506.0,488.0,100.0,2022-09-24,4.0,Kuaizhou Family,53884,2022
Shiyan 15,China,china academy of space technology (cast),Government,Technology Development,LEO,Sun-Synchronous,488.0,502.0,488.0,100.0,2022-09-24,4.0,Kuaizhou Family,53885,2022
Shiyan 16A,China,chinese academy of launch vehicle technology (calt),Government,Technology Development,LEO,Sun-Synchronous,504.0,520.0,504.0,199.87465311986864,2022-09-27,4.0,Long March Family,53949,2022
Shiyan 16B,China,shanghai academy of spaceflight technology,Government,Technology Development,LEO,Sun-Synchronous,505.0,519.0,505.0,199.87465311986864,2022-09-27,4.0,Long March Family,53950,2022
Shiyan 17,China,shanghai academy of spaceflight technology,Government,Technology Development,LEO,Sun-Synchronous,503.0,519.0,503.0,199.87465311986864,2022-09-27,4.0,Long March Family,53948,2022
Shiyan 19,China,shanghai institute of satellite engineering,Government,Technology Development,LEO,Sun-Synchronous,495.0,515.0,495.0,100.0,2023-03-15,4.0,Long March Family,55861,2023
Shiyan 22A,China,chinese academy of space techology (cast),Government,Technology Development,LEO,Non-Polar Inclined,512.0,522.0,512.0,100.0,2023-01-13,4.0,Long March Family,55242,2023
Shiyan 22B,China,chinese academy of space techology (cast),Government,Technology Development,LEO,Non-Polar Inclined,512.0,522.0,512.0,100.0,2023-01-13,4.0,Long March Family,55243,2023
Shiyan 3,China,china academy of space technology (cast),Government,Earth Observation,LEO,Sun-Synchronous,785.0,803.0,785.0,300.0,2008-11-05,4.0,Long March Family,33433,2008
Shiyan 4,China,china academy of space technology (cast),Government,Earth Observation,LEO,Sun-Synchronous,784.0,802.0,784.0,300.0,2011-11-20,4.0,Long March Family,37931,2011
Shiyan 5,China,china academy of space technology (cast),Government,Earth Observation,LEO,Sun-Synchronous,739.0,755.0,739.0,204.0,2013-11-25,4.0,Long March Family,39455,2013
Shiyan 6-01,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,488.0,504.0,488.0,199.87465311986864,2018-11-19,4.0,Long March Family,43710,2018
Shiyan 6-02,China,china academy of space technology (cast),Government,Space Science,LEO,Sun-Synchronous,686.0,706.0,686.0,199.87465311986864,2020-07-04,4.0,Long March Family,45859,2020
Shiyan 6-03,China,china academy of space technology (cast),Government,Technology Development,LEO,Sun-Synchronous,989.0,1.001,989.0,1.5,2021-04-08,4.0,Long March Family,48157,2021
Shiyan 7,China,china academy of space technology (cast),Military,Technology Development,LEO,Sun-Synchronous,668.0,672.0,668.0,199.87465311986864,2013-07-19,4.0,Long March Family,39208,2013
Shiyan 9,China,china academy of space technology (cast),Government,Technology Development,GEO,Unknown,483.0,35.835,483.0,5.0,2021-03-12,15.0,Long March Family,47851,2021
Sich-2-1,Ukraine,national space program,Government,Earth Observation,LEO,Sun-Synchronous,522.0,535.0,522.0,170.0,2022-01-13,4.0,SpaceX Falcon,51030,2022
Sicral 1A,Italy,italian defense ministry,Military,Communications,GEO,Unknown,35.769,35.802,35.769,2.596,2001-02-07,12.0,Ariane Family,26694,2001
Sicral 1B,Italy,italian defense ministry/telespazio,Commercial/Military,Communications,GEO,Unknown,35.788,35.802,35.788,3.038,2009-04-20,12.0,Zenit Family,34810,2009
Sicral 2/Syracuse 3C,Multinational_countries,italian defense ministry/french defense ministry,Military,Communications,GEO,Unknown,35.77,35.8,35.77,4.4,2015-04-26,15.0,Ariane Family,40614,2015
SIMBA,ESA,"esa/royal meteorological institute, belgium",Government,Earth Science,LEO,Sun-Synchronous,541.0,545.0,541.0,6.0,2020-09-02,4.0,Vega Family,46279,2020
SINOD D-1,USA,sri international,Commercial,Technology Demonstration,LEO,Non-Polar Inclined,494.0,800.0,494.0,2.0,2015-10-08,4.0,Atlas Family,40974,2015
SINOD D-3,USA,sri international,Commercial,Technology Demonstration,LEO,Non-Polar Inclined,494.0,800.0,494.0,2.0,2015-10-08,4.0,Atlas Family,40977,2015
Sinosat-6,China,china satellite communication corp. (china satcom),Commercial,Communications,GEO,Unknown,35.794,35.796,35.794,5.0,2010-09-04,15.0,Long March Family,37150,2010
Sirius-1 (SD Radio 1),USA,sirius xm holdings,Commercial,Communications,ELLIPTICAL,Molniya,23.783,47.1,23.783,3.727,2000-06-30,15.0,Proton Family,26390,2000
Sirius 2 (SD Radio 2),USA,sirius xm holdings,Commercial,Communications,ELLIPTICAL,Molniya,12.849,47.048,12.849,3.792,2000-09-05,15.0,Proton Family,26483,2000
Sirius 3 (SD Radio 3),USA,sirius xm holdings,Commercial,Communications,ELLIPTICAL,Molniya,6.179,47.086,6.179,3.727,2000-11-30,15.0,Proton Family,26626,2000
Sirius 4,Sweden,ses s.a.,Commercial,Communications,GEO,Unknown,35.776,35.795,35.776,4.4,2007-11-17,15.0,Proton Family,32299,2007
Sirius FM-5,USA,sirius xm holdings,Commercial,Communications,GEO,Unknown,35.774,35.798,35.774,5.8,2009-06-30,15.0,Proton Family,35493,2009
Sirius FM-6,USA,sirius xm holdings,Commercial,Communications,GEO,Unknown,35.785,35.791,35.785,6.02,2013-10-25,15.0,Proton Family,39360,2013
Sirius XM-3,USA,xm satellite radio,Commercial,Communications,GEO,Unknown,35.782,35.79,35.782,4.703,2005-03-01,15.0,Zenit Family,28626,2005
Sirius XM-4,USA,xm satellite radio,Commercial,Communications,GEO,Unknown,35.784,35.787,35.784,5.193,2006-10-30,15.0,Zenit Family,29520,2006
Sirius XM-5,USA,sirius xm holdings,Commercial,Communications,GEO,Unknown,35.779,35.795,35.779,5.983,2010-10-14,15.0,Proton Family,37185,2010
Sirius XM-8,USA,sirius xm holdings,Commercial,Communications,GEO,Unknown,35.779,35.794,35.779,7.0,2021-06-06,15.0,SpaceX Falcon,48838,2021
Siwei 01,China,china siwei surveying and mapping technology co. ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,486.0,503.0,486.0,540.0,2022-04-29,4.0,Long March Family,52320,2022
Siwei 02,China,china siwei surveying and mapping technology co. ltd.,Commercial,Earth Observation,LEO,Non-Polar Inclined,485.0,502.0,485.0,540.0,2022-04-29,4.0,Long March Family,52322,2022
Siwei Gaojing 2-01 ,China,china siwei surveying and mapping technology co. ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,484.0,500.0,484.0,600.0,2022-07-15,4.0,Long March Family,53128,2022
Siwei Gaojing 2-02 ,China,china siwei surveying and mapping technology co. ltd.,Commercial,Earth Observation,LEO,Sun-Synchronous,480.0,498.0,480.0,600.0,2022-07-15,4.0,Long March Family,53129,2022
Sky Mexico-1,Mexico,sky mexico,Commercial,Communications,GEO,Unknown,35.788,35.8,35.788,3.18,2015-05-27,18.0,Ariane Family,40664,2015
Sky Muster 1,Australia,nbn co (operated by optus),Commercial,Communications,GEO,Unknown,35.744,35.777,35.744,6.44,2015-09-30,15.0,Ariane Family,40940,2015
Sky Muster 2,Australia,nbn co (operated by optus),Commercial,Communications,GEO,Unknown,35.79,35.798,35.79,6.405,2016-10-05,15.0,Ariane Family,41794,2016
SkyBrasil-1 (Intelsat 32E),Brazil,directv latin america/intelsat,Commercial,Communications,GEO,Unknown,35.785,35.787,35.785,6.0,2017-02-14,15.0,Ariane Family,41945,2017
Skykraft 1A,Australia,skykraft,Commercial,Technology Demonstration,LEO,Sun-Synchronous,513.0,534.0,513.0,50.0,2023-01-03,4.0,SpaceX Falcon,55054,2023
Skykraft 1B,Australia,skykraft,Commercial,Technology Demonstration,LEO,Sun-Synchronous,514.0,536.0,514.0,50.0,2023-01-03,4.0,SpaceX Falcon,55058,2023
Skykraft 1C,Australia,skykraft,Commercial,Technology Demonstration,LEO,Sun-Synchronous,517.0,536.0,517.0,50.0,2023-01-03,4.0,SpaceX Falcon,55061,2023
Skykraft 1D,Australia,skykraft,Commercial,Technology Demonstration,LEO,Sun-Synchronous,517.0,536.0,517.0,50.0,2023-01-03,4.0,SpaceX Falcon,55052,2023
Skykraft Carrier 1,Australia,skykraft,Commercial,Technology Demonstration,LEO,Sun-Synchronous,521.0,537.0,521.0,100.0,2023-01-03,4.0,SpaceX Falcon,55041,2023
Skynet 4C,United Kingdom,intelsat/paradigm secure communications (wholly owned by eads astrium),Military,Communications,GEO,Unknown,35.785,35.787,35.785,1.474,1990-08-30,7.0,Ariane Family,20776,1990
Skynet 4E,United Kingdom,ministry of defense,Military,Communications,GEO,Unknown,35.774,35.797,35.774,1.51,1999-02-26,7.0,Ariane Family,25639,1999
Skynet 5A,United Kingdom,ministry of defense/paradigm secure communications (wholly owned by eads astrium),Military,Communications,GEO,Unknown,35.771,35.802,35.771,4.7,2007-03-11,15.0,Ariane Family,30794,2007
Skynet 5B,United Kingdom,ministry of defense/paradigm secure communications (wholly owned by eads astrium),Military,Communications,GEO,Unknown,35.7,35.803,35.7,4.635,2007-11-14,15.0,Ariane Family,32294,2007
Skynet 5C,United Kingdom,ministry of defense/paradigm secure communications (wholly owned by eads astrium),Military,Communications,GEO,Unknown,35.77,35.803,35.77,4.6,2008-06-12,15.0,Ariane Family,33055,2008
Skynet 5D,United Kingdom,ministry of defense/paradigm secure communications (wholly owned by eads astrium),Military,Communications,GEO,Unknown,35.786,35.793,35.786,4.638,2012-12-19,15.0,Ariane Family,39034,2012
SkySat-1,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,567.0,599.0,567.0,199.87465311986864,2013-11-21,4.0,Dnepr,39418,2013
SkySat-10,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,500.0,526.0,500.0,110.0,2017-10-31,4.0,Minotaur Family,42990,2017
SkySat-11,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,500.0,528.0,500.0,110.0,2017-10-31,4.0,Minotaur Family,42989,2017
SkySat-12,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,500.0,528.0,500.0,110.0,2017-10-31,4.0,Minotaur Family,42988,2017
SkySat-13,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,500.0,528.0,500.0,110.0,2017-10-31,4.0,Minotaur Family,42987,2017
SkySat-14,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,572.0,588.0,572.0,100.0,2018-12-03,4.0,SpaceX Falcon,43797,2018
SkySat-15,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,573.0,590.0,573.0,100.0,2018-12-03,4.0,SpaceX Falcon,43802,2018
SkySat-16,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Non-Polar Inclined,398.0,401.0,398.0,100.0,2020-06-13,4.0,SpaceX Falcon,45788,2020
SkySat-17,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Non-Polar Inclined,395.0,403.0,395.0,100.0,2020-06-13,4.0,SpaceX Falcon,45790,2020
SkySat-18,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Non-Polar Inclined,387.0,398.0,387.0,100.0,2020-06-13,4.0,SpaceX Falcon,45789,2020
SkySat-19,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Non-Polar Inclined,400.0,410.0,400.0,110.0,2020-08-18,4.0,SpaceX Falcon,46179,2020
SkySat-2,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,626.0,634.0,626.0,90.0,2014-07-08,4.0,Soyuz Family,40072,2014
SkySat-20,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Non-Polar Inclined,400.0,410.0,400.0,110.0,2020-08-18,4.0,SpaceX Falcon,46180,2020
SkySat-21,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Non-Polar Inclined,400.0,410.0,400.0,110.0,2020-08-18,4.0,SpaceX Falcon,46235,2020
SkySat-3,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,500.0,515.0,500.0,110.0,2016-06-22,4.0,ISRO PSLV,41601,2016
SkySat-4,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,501.0,502.0,501.0,110.0,2016-09-16,4.0,Vega Family,41771,2016
SkySat-5,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,501.0,502.0,501.0,110.0,2016-09-16,4.0,Vega Family,41772,2016
SkySat-6,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,497.0,506.0,497.0,110.0,2016-09-16,4.0,Vega Family,41773,2016
SkySat-7,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,501.0,502.0,501.0,110.0,2016-09-16,4.0,Vega Family,41774,2016
SkySat-8,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,500.0,526.0,500.0,110.0,2017-10-31,4.0,Minotaur Family,42992,2017
SkySat-9,USA,"planet labs, inc.",Commercial,Earth Observation,LEO,Sun-Synchronous,500.0,526.0,500.0,110.0,2017-10-31,4.0,Minotaur Family,42991,2017
SkyTerra 1,USA,lightsquared,Commercial,Communications,GEO,Unknown,35.782,35.791,35.782,5.36,2010-11-14,15.0,Proton Family,37218,2010
USA 119,USA,national reconnaissance office (nro),Military,Communications,ELLIPTICAL,Molniya,1.2,11.6,1.2,199.87465311986864,1996-05-12,7.0,Titan Family,23893,1996
SMAP,USA,national aeronautics and space administration (nasa),Government,Earth Observation,LEO,Sun-Synchronous,660.0,686.0,660.0,199.87465311986864,2015-01-31,3.0,Delta Family,40376,2015
SMDC-ONE 1.1,USA,us army space and missile defense command,Military,Technology Development,LEO,Non-Polar Inclined,495.0,791.0,495.0,5.0,2012-09-13,4.0,Atlas Family,38766,2012
SMDC-ONE 1.2,USA,us army space and missile defense command,Military,Technology Development,LEO,Non-Polar Inclined,483.0,789.0,483.0,3.0,2012-09-13,4.0,Atlas Family,38759,2012
SMDC-ONE 2.3,USA,us army space and missile defense command,Military,Technology Development,LEO,Polar,443.0,886.0,443.0,5.0,2013-12-06,4.0,Atlas Family,39474,2013
SMDC-ONE 2.4,USA,us army space and missile defense command,Military,Technology Development,LEO,Polar,443.0,886.0,443.0,5.0,2013-12-06,4.0,Atlas Family,39472,2013
SMOS,ESA,centre national d'etudes spatiales (cnes)/european space agency (esa),Government,Earth Observation,LEO,Sun-Synchronous,759.0,760.0,759.0,658.0,2009-11-02,3.0,Proton Family,36036,2009
SNaP-3 Alice,USA,us army space and missile defense command,Military,Technology Development,LEO,Non-Polar Inclined,495.0,801.0,495.0,5.0,2015-10-08,4.0,Atlas Family,40970,2015
SNaP-3 Eddie,USA,us army space and missile defense command,Military,Technology Development,LEO,Non-Polar Inclined,496.0,801.0,496.0,5.0,2015-10-08,4.0,Atlas Family,40972,2015
SNaP-3 Jimi,USA,us army space and missile defense command,Military,Technology Development,LEO,Non-Polar Inclined,495.0,801.0,495.0,5.0,2015-10-08,4.0,Atlas Family,40975,2015
SNaP-3-1,USA,us southern command,Military,Communications,LEO,Polar,443.0,886.0,443.0,199.87465311986864,2013-12-06,4.0,Atlas Family,39468,2013
SNUGLITE 2,South Korea,seoul national university,Civil,Technology Demonstration,LEO,Sun-Synchronous,692.0,703.0,692.0,4.0,2022-06-21,4.0,Nuri,52899,2022
SOCRATES,Japan,national institute of information and communications technology (jpn),Commercial,Technology Development,LEO,Sun-Synchronous,618.0,629.0,618.0,48.0,2014-05-24,4.0,H2A,39768,2014
SOHLA 1,Japan,astrotech sohla,Civil,Technology Development,LEO,Sun-Synchronous,657.0,665.0,657.0,50.0,2009-01-23,4.0,H2A,33496,2009
SOKRAT,Russia,moscow state university,Civil,Space Science,LEO,Sun-Synchronous,515.0,546.0,515.0,4.0,2019-07-05,4.0,Soyuz Family,44404,2019
SOMP-2b,Germany,technical  university dresden,Civil,Space Science,LEO,Sun-Synchronous,522.0,535.0,522.0,3.0,2021-01-24,4.0,SpaceX Falcon,47445,2021
SONATE,Germany,university of würzburg,Civil,Technology Development,LEO,Sun-Synchronous,514.0,546.0,514.0,1.0,2019-07-05,4.0,Soyuz Family,44400,2019
SOlar Radiation and Climate Experiment (SORCE),USA,"national aeronautics and space administration (nasa) earth science office/laboratory for atmospheric and space physics, univ. of colorado",Civil/Government,Space Science,LEO,Non-Polar Inclined,600.0,633.0,600.0,315.0,2003-01-25,6.0,Pegasus XL,27651,2003
SORTIE,USA,cosmiac (configurable space microsystems innovations & applications center),Government,Space Science,LEO,Non-Polar Inclined,409.0,419.0,409.0,9.0,2020-02-19,4.0,Non-Launch Systems,45264,2020
South Asia Satellite,India,south asian association for regional cooperation,Government,Communications,GEO,Unknown,35.775,35.798,35.775,2.23,2017-05-06,12.0,GSLV,42695,2017
SpaceBEE NZ-15 ,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,522.0,533.0,522.0,2.0,2022-05-02,2.0,Electron,52395,2022
SpaceBEE NZ-16 ,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,522.0,533.0,522.0,2.0,2022-05-02,2.0,Electron,52396,2022
SpaceBEE NZ-17 ,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,522.0,533.0,522.0,2.0,2022-05-02,2.0,Electron,52397,2022
SpaceBEE NZ-18 ,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,522.0,533.0,522.0,2.0,2022-05-02,2.0,Electron,52398,2022
SpaceBEE NZ-19 ,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,522.0,533.0,522.0,2.0,2022-05-02,2.0,Electron,52404,2022
SpaceBEE NZ-20,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,522.0,533.0,522.0,2.0,2022-05-02,2.0,Electron,52402,2022
SpaceBEE NZ-21 ,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,522.0,533.0,522.0,2.0,2022-05-02,2.0,Electron,52405,2022
SpaceBEE NZ-22,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,522.0,533.0,522.0,2.0,2022-05-02,2.0,Electron,52403,2022
SpaceBEE-100,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48883,2021
SpaceBEE-101,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48884,2021
SpaceBEE-102,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48886,2021
SpaceBEE-103,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48888,2021
SpaceBEE-104,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48890,2021
SpaceBEE-105,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48896,2021
SpaceBEE-106,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48893,2021
SpaceBEE-107,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48894,2021
SpaceBEE-108,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48895,2021
SpaceBEE-109,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48897,2021
SpaceBEE-110,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48899,2021
SpaceBEE-111,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,512.0,536.0,512.0,2.0,2021-06-30,2.0,SpaceX Falcon,48904,2021
SpaceBEE-112 ,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52025,2022
SpaceBEE-113,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,507.0,542.0,507.0,2.0,2022-03-15,2.0,Rocket 3.3,52024,2022
SpaceBEE-114,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,507.0,543.0,507.0,2.0,2022-03-15,2.0,Rocket 3.3,52010,2022
SpaceBEE-115,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52016,2022
SpaceBEE-116,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,507.0,543.0,507.0,2.0,2022-03-15,2.0,Rocket 3.3,52023,2022
SpaceBEE-117,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,507.0,543.0,507.0,2.0,2022-03-15,2.0,Rocket 3.3,52022,2022
SpaceBEE-118,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,507.0,542.0,507.0,2.0,2022-03-15,2.0,Rocket 3.3,52012,2022
SpaceBEE-119,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52015,2022
SpaceBEE-120,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52013,2022
SpaceBEE-121,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52009,2022
SpaceBEE-122,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52014,2022
SpaceBEE-123,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52027,2022
SpaceBEE-124,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52029,2022
SpaceBEE-125,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,506.0,543.0,506.0,2.0,2022-03-15,2.0,Rocket 3.3,52021,2022
SpaceBEE-126,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,507.0,543.0,507.0,2.0,2022-03-15,2.0,Rocket 3.3,52011,2022
SpaceBEE-127 ,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,507.0,543.0,507.0,2.0,2022-03-15,2.0,Rocket 3.3,52020,2022
SpaceBEE-128,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,498.0,509.0,498.0,2.0,2022-04-01,2.0,SpaceX Falcon,52182,2022
SpaceBEE-129,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,498.0,509.0,498.0,2.0,2022-04-01,2.0,SpaceX Falcon,52179,2022
SpaceBEE-130,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,498.0,508.0,498.0,2.0,2022-04-01,2.0,SpaceX Falcon,52176,2022
SpaceBEE-131,USA,swarm technologies,Commercial,Communications,LEO,Sun-Synchronous,498.0,509.0,498.0,2.0,2022-04-01,2.0,SpaceX Falcon,52181,2022
