OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-32183,2024-144J,2026-04-16T05:08:06.341856,15.30189813,0.00014402,53.1601,42.8792,97.9866,262.1298,0,U,60433,999,9505,1.0311733e-05,-5.4e-07,0.0
STARLINK-32233,2024-144K,2026-04-16T04:54:25.853760,15.30188857,0.00013724,53.1616,42.8214,92.2043,267.9115,0,U,60434,999,9505,5.861886e-06,-1.86e-06,0.0
STARLINK-32222,2024-144L,2026-04-16T01:50:52.977984,15.30188929,0.00013934,53.1616,43.4479,95.4071,264.7089,0,U,60435,999,9503,1.1301925e-05,-2.5e-07,0.0
STARLINK-32229,2024-144M,2026-04-16T06:23:55.791744,15.30219402,9.774e-05,53.1635,42.4958,107.359,252.7518,0,U,60436,999,9506,-0.00010818107,-3.563e-05,0.0
STARLINK-32241,2024-144N,2026-04-16T04:46:57.722016,15.31442039,0.00059006,53.1615,42.7887,344.6725,15.4097,0,U,60437,999,9505,0.0057565626,0.00181256,0.0
STARLINK-32240,2024-144P,2026-04-16T04:45:18.827712,15.30193628,0.00014873,53.1618,42.7815,95.5001,264.6169,0,U,60438,999,9509,2.3114782e-05,3.25e-06,0.0
STARLINK-32231,2024-144Q,2026-04-16T04:34:41.228544,15.30195838,0.00010051,53.1609,42.7317,99.2969,260.8146,0,U,60439,999,9415,2.8517032e-05,4.86e-06,0.0
STARLINK-32195,2024-144R,2026-04-16T06:14:48.938496,15.3021179,0.00013132,53.1614,42.4581,89.2232,270.8919,0,U,60440,999,9506,0.00028910184,8.216e-05,0.0
STARLINK-32177,2024-144S,2026-04-16T02:56:03.284736,15.30200021,8.74e-05,53.1609,43.0179,90.0713,270.0388,0,U,60441,999,9504,1.3898884e-05,5.3e-07,0.0
STARLINK-32252,2024-144T,2026-04-16T05:55:02.763264,15.30188814,0.00011543,53.1626,42.3701,95.5301,264.5831,0,U,60442,999,9510,-3.8619248e-05,-1.502e-05,0.0
STARLINK-32237,2024-144U,2026-04-16T02:51:30.112992,15.30196115,0.00011167,53.1617,42.9978,88.7731,271.3397,0,U,60443,999,9504,1.2063922e-05,-2e-08,0.0
STARLINK-32249,2024-144V,2026-04-16T05:45:55.221408,15.30200577,0.00011856,53.1613,42.3302,84.207,275.9066,0,U,60444,999,9510,3.3191445e-05,6.24e-06,0.0
STARLINK-32228,2024-144W,2026-04-16T02:42:22.832064,15.30199152,0.00011938,53.1622,42.9584,94.0312,266.0825,0,U,60445,999,9508,2.1487278e-05,2.77e-06,0.0
